Age,Experience,Salary
34,12,54571.61
51,30,88576.91
39,18,64590.93
36,15,57192.38
25,4,33098.08
55,36,100364.31
32,11,49959.07
45,24,71229.8
41,21,64131.99
56,36,97509.28
43,21,74745.1
36,15,48804.46
59,39,95662.37
59,38,101823.8
34,15,55254.44
51,30,85866.71
25,4,34219.77
55,34,91883.99
43,22,76449.32
49,27,70995.48
31,8,36857.51
38,19,62483.73
32,10,36784.06
29,7,38120.73
30,6,45307.35
37,16,57104.43
58,36,98153.5
27,8,34699.18
33,13,47918.19
29,7,37124.02
47,29,81411.42
22,2,35408.22
25,4,35788.46
49,25,69442.71
57,39,104232.52
58,35,97491.11
39,16,62700.75
28,8,48902.7
21,3,25924.53
42,23,66945.71
37,16,50712.11
27,6,35829.9
45,25,77331.79
24,4,37936.67
56,35,94620.24
26,5,33400.76
51,30,85758.79
39,17,54824.29
59,38,111447.69
47,24,64961.69
30,9,43923.7
46,24,83118.03
39,17,59034.0
59,38,100049.8
23,4,31212.77
33,13,50098.04
48,25,81864.24
40,18,49940.69
48,28,88667.17
28,6,29880.21
59,38,99666.74
21,0,22853.78
23,1,29942.77
33,12,41009.38
48,25,77310.86
45,24,83121.55
53,32,82184.13
58,35,95948.53
26,5,31690.09
52,31,89129.44
41,20,65095.74
36,15,51792.57
41,22,71439.36
31,10,54021.74
57,36,96045.48
56,35,98598.79
55,34,86533.64
39,18,56217.82
40,19,65362.03
38,16,64420.58
34,13,52778.07
35,12,47434.71
51,32,88996.46
21,0,18747.96
23,1,30022.58
36,14,57411.67
43,23,68739.55
31,10,42649.79
32,12,50329.39
30,8,38816.4
52,31,86669.34
36,14,63498.61
28,10,43764.87
58,36,95208.3
32,11,43762.29
44,23,74720.96
48,27,78093.88
28,7,35753.13
48,27,85606.52
56,35,102098.02
46,25,71997.88
28,8,31667.3
48,30,90037.57
48,27,75576.85
57,34,96953.13
56,35,85149.48
47,29,87462.99
37,15,48944.14
29,10,48653.82
53,34,93071.37
40,19,58230.3
33,12,46964.82
48,29,86431.59
49,28,81529.47
33,12,51922.06
55,34,102882.2
26,4,25178.79
38,17,67086.06
25,3,31521.78
45,24,68506.08
22,0,18348.43
30,9,42054.4
50,27,83608.25
25,4,32362.25
53,33,98555.77
21,0,17744.12
38,17,58939.56
52,32,82738.03
31,9,44818.16
41,22,73434.44
46,25,72896.19
45,23,57978.93
42,21,67994.74
47,26,79183.69
33,12,51021.47
53,32,95178.91
54,32,83644.73
55,34,96401.08
21,0,30962.54
41,20,56107.06
26,4,34598.26
48,26,74479.1
37,17,58592.39
25,5,36738.38
51,30,82563.86
25,3,27621.46
58,37,99170.76
23,3,25563.77
43,22,63570.87
57,39,106396.87
57,36,91256.03
30,9,46331.56
30,9,45312.96
39,18,52370.97
37,16,53612.18
41,21,72970.55
34,14,48094.17
29,7,36677.98
21,0,27310.3
33,10,48916.95
24,3,29742.31
21,0,22012.45
52,28,88111.85
54,33,99694.5
48,30,89894.29
51,30,85426.59
28,8,36958.67
59,38,96847.78
46,25,77612.57
54,34,95091.99
23,2,36007.99
32,11,50252.25
21,0,17484.6
25,3,36259.74
50,30,80009.7
50,29,81080.14
37,15,56251.0
43,22,78978.34
35,13,66549.59
57,36,100033.62
41,20,64084.02
34,14,55672.53
22,1,31438.28
31,10,43396.66
59,39,111976.06
58,39,104150.35
54,33,93488.72
58,37,102329.62
54,32,91107.93
38,16,61194.7
50,29,79913.73
35,14,50208.49
47,26,71499.23
54,33,93197.51
58,37,102894.68
53,32,91288.86
44,23,79372.46
35,14,52972.02
50,27,82343.71
37,15,49541.5
25,4,31064.5
49,27,82477.69
24,3,35245.51
30,11,45530.17
37,17,58642.0
30,9,35410.63
37,18,59214.85
40,19,67451.92
44,23,73876.03
25,4,35503.33
54,33,91248.87
26,5,35035.32
22,1,23698.39
33,12,52494.14
31,10,47104.86
43,22,71460.09
36,16,54369.83
51,31,76233.29
31,8,46485.76
36,12,46605.81
28,8,36686.12
24,1,30467.39
24,3,29039.94
45,23,76299.68
23,0,28085.03
52,31,90417.85
23,3,24170.22
47,26,83059.72
49,25,76306.25
52,31,85153.61
39,18,61716.94
41,18,52118.82
25,4,35043.26
38,17,53853.14
48,27,72236.65
42,21,59388.2
41,19,68563.44
26,6,33853.68
21,0,32668.64
25,4,30320.99
32,10,36463.21
46,25,69417.38
54,32,95179.06
34,13,50220.51
46,27,76258.56
47,24,73800.09
29,6,39508.91
46,27,84586.99
42,21,74242.5
50,28,79201.16
37,17,52369.76
46,25,72932.67
56,37,100301.4
21,1,22181.21
28,7,34214.25
55,37,100718.94
35,14,52756.74
42,22,69163.98
34,13,47207.52
46,26,75848.0
48,29,78378.83
43,22,73450.99
34,12,54176.25
44,23,61769.06
22,0,20352.45
46,28,73517.35
34,13,47749.88
27,6,36582.81
23,2,21751.77
43,20,60390.7
38,16,51980.21
58,38,102036.34
55,34,93346.72
35,13,47391.31
45,24,73884.1
57,37,96266.6
48,28,79641.72
30,10,53367.26
59,37,105702.31
37,14,46502.09
59,40,109148.66
42,21,71056.98
46,25,69258.68
45,25,79093.89
37,16,64689.66
33,12,43387.28
40,22,64412.49
45,24,78088.31
24,4,34357.48
30,9,45757.38
23,2,30702.95
38,19,64953.48
56,35,88367.64
42,21,72236.59
54,34,98847.95
28,7,37853.05
39,17,58782.62
57,35,87344.46
26,3,33571.27
46,28,83860.29
54,32,88689.04
26,5,40621.77
57,36,95329.61
53,32,91823.03
42,22,63901.68
41,21,66882.24
26,5,34128.23
26,5,36126.54
24,3,29152.37
50,29,82342.64
31,12,53130.24
50,29,80816.18
51,31,78967.11
44,23,79747.92
29,9,49907.27
23,2,22538.69
51,29,86448.54
57,36,94485.13
56,35,96317.44
44,23,72471.12
51,30,83827.96
26,6,33081.17
22,1,23547.29
40,19,58419.04
48,29,78840.89
31,10,44664.11
24,6,33421.2
35,14,56410.26
26,3,38436.23
50,30,82099.73
58,37,100197.02
22,2,31498.43
35,15,57360.01
31,10,45379.78
28,6,40713.41
46,25,77411.24
25,3,24811.69
26,5,39345.78
46,25,79436.45
24,5,31183.57
39,18,61189.69
40,18,64416.64
53,32,87953.43
40,20,70364.89
32,11,58819.36
21,0,21070.07
46,25,68094.78
34,12,50519.09
58,37,102607.81
57,36,95845.67
31,10,52266.3
56,34,86306.97
33,12,52464.59
23,3,27970.7
53,32,97596.89
26,7,48962.58
30,9,39166.72
25,4,30252.21
43,23,75297.94
30,7,37064.35
22,0,24772.94
33,10,45126.94
22,2,19401.63
40,19,62930.81
21,3,27551.36
57,36,94534.39
29,8,48218.16
37,18,54717.47
29,11,51066.03
31,13,49605.19
35,15,53601.2
44,24,76951.86
58,37,100700.26
55,35,97853.06
50,29,87840.92
51,29,81343.46
25,4,29938.82
34,13,45574.25
31,10,40872.95
29,9,57745.47
54,34,99223.4
32,11,40244.63
55,36,90387.71
55,33,93409.33
21,0,27736.32
42,20,67744.42
49,26,75725.22
28,7,38372.73
31,10,46639.4
57,38,101429.47
34,13,39903.5
50,28,79851.0
55,36,92742.97
41,21,67876.06
57,36,111926.3
25,4,34837.41
39,17,57432.35
34,13,55609.01
46,26,79413.44
24,5,37100.47
45,26,80034.25
45,24,83282.72
38,16,51345.56
28,7,41368.16
59,36,92368.09
34,13,53777.56
52,31,82406.57
58,37,96913.17
53,30,83524.55
43,22,73879.08
35,14,57592.27
53,31,80771.41
45,20,65274.67
37,16,53452.1
53,34,86707.48
22,3,29914.91
34,13,49457.59
59,38,113133.58
26,5,37164.8
26,4,26111.91
23,2,26176.13
27,7,44106.92
28,8,51442.21
35,14,45070.08
49,28,71600.38
53,31,96354.83
50,28,82948.07
59,38,96658.54
47,26,79673.15
56,36,83821.26
49,27,79016.88
58,39,104639.11
53,32,93621.35
57,36,91930.52
47,25,75428.44
53,29,78372.88
24,4,34276.92
42,22,64523.27
22,1,24959.5
30,9,38020.92
25,4,36255.68
30,7,43292.26
53,32,87826.9
58,38,101191.19
33,11,39757.04
51,30,83501.62
56,33,90748.98
44,23,84103.97
35,14,47440.16
49,26,84320.89
28,8,45984.29
25,3,32403.18
49,27,87793.1
24,3,32860.53
32,12,50945.8
22,0,24734.4
47,26,83117.84
51,30,90482.35
56,36,93871.61
56,35,88403.76
46,25,73985.1
47,25,70999.81
25,4,32682.38
40,18,67187.19
31,6,34713.49
30,9,42785.88
58,38,101290.11
26,2,33242.15
28,6,25765.55
43,22,65966.5
46,28,82056.42
32,11,53000.39
46,24,70540.49
33,12,39617.24
38,19,66098.56
45,24,69823.19
53,31,81051.67
32,11,43878.27
56,34,92077.37
24,3,27976.28
25,6,25972.17
57,36,101485.33
28,7,45374.38
48,27,82257.61
51,28,75311.57
29,9,41992.54
49,28,80967.39
34,13,53993.97
42,25,78341.7
31,10,41329.13
43,21,67409.98
21,0,27286.4
57,37,106279.11
41,20,68522.53
46,23,74945.28
56,36,97419.13
43,21,74052.3
21,2,31048.81
35,15,50694.56
41,20,72016.85
29,9,46489.52
29,8,38784.78
30,10,42602.54
46,25,76482.88
55,33,93315.92
45,24,73986.46
46,26,78556.54
31,10,53499.79
58,37,104357.72
22,0,25953.18
27,6,41706.55
38,20,59837.38
47,25,76989.64
